id_usuario,genero_usuario,edad_usuario,fecha_alta,hora_alta
603873,MALE,19,28-11-19,10:02:00 PM
603868,FEMALE,24,27-02-20,11:23:00 AM
603866,FEMALE,33,28-11-19,9:48:00 PM
603864,FEMALE,30,28-11-19,9:45:00 PM
603854,OTHER,22,28-11-19,9:33:00 PM
603851,MALE,29,28-11-19,9:29:00 PM
603849,FEMALE,20,28-11-19,9:25:00 PM
603848,MALE,31,28-11-19,9:25:00 PM
603842,FEMALE,22,28-11-19,9:20:00 PM
603841,FEMALE,23,28-11-19,9:19:00 PM
603833,MALE,41,28-11-19,9:11:00 PM
603832,MALE,26,28-11-19,9:11:00 PM
603826,MALE,19,28-11-19,9:06:00 PM
603821,MALE,26,28-11-19,9:00:00 PM
603813,MALE,19,28-11-19,8:52:00 PM
603809,OTHER,29,13-09-20,3:08:00 PM
603802,FEMALE,44,28-11-19,8:39:00 PM
603801,FEMALE,33,28-11-19,8:34:00 PM
603798,MALE,46,28-11-19,8:28:00 PM
603794,FEMALE,34,28-11-19,8:21:00 PM
603770,MALE,28,28-11-19,7:52:00 PM
603763,MALE,50,28-11-19,7:43:00 PM
603762,MALE,40,28-11-19,7:43:00 PM
603757,MALE,28,28-11-19,7:39:00 PM
603749,MALE,24,28-11-19,7:27:00 PM
603742,FEMALE,60,28-11-19,7:20:00 PM
603734,OTHER,25,05-10-20,11:32:00 PM
603731,FEMALE,25,28-11-19,7:08:00 PM
603725,FEMALE,25,28-11-19,7:04:00 PM
603724,FEMALE,20,28-11-19,7:03:00 PM
603721,FEMALE,24,28-11-19,6:59:00 PM
603714,MALE,40,28-11-19,6:52:00 PM
603713,FEMALE,33,28-11-19,6:50:00 PM
603712,MALE,40,28-11-19,6:48:00 PM
603711,OTHER,23,28-11-19,6:47:00 PM
603705,OTHER,51,28-11-19,6:43:00 PM
603702,FEMALE,38,28-11-19,6:41:00 PM
603700,OTHER,70,28-11-19,6:38:00 PM
603696,OTHER,37,28-11-19,6:32:00 PM
603687,FEMALE,24,28-11-19,6:24:00 PM
603674,FEMALE,26,28-11-19,6:14:00 PM
603673,MALE,36,28-11-19,6:14:00 PM
603669,MALE,33,28-11-19,6:09:00 PM
603664,MALE,21,28-11-19,6:04:00 PM
603663,MALE,24,28-11-19,6:02:00 PM
603658,MALE,27,28-11-19,5:56:00 PM
603651,MALE,26,28-11-19,5:46:00 PM
603647,MALE,21,15-09-20,10:44:00 AM
